			Symbol				Name				Sector				industry	
{	Symbol	":"""	SKY	"""xqxq"	Name	":"""	Skyline Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Homebuilding	}xqxq
{	Symbol	":"""	XIN	"""xqxq"	Name	":"""	Xinyuan Real Estate Co Ltd	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Homebuilding	}xqxq
{	Symbol	":"""	SHLM	"""xqxq"	Name	":"""	"A. Schulman, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	ADES	"""xqxq"	Name	":"""	"ADA-ES, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	ALTI	"""xqxq"	Name	":"""	Altair Nanotechnologies Inc.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	APFC	"""xqxq"	Name	":"""	American Pacific Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	AMRS	"""xqxq"	Name	":"""	"Amyris, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	ATMI	"""xqxq"	Name	":"""	ATMI Inc.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	BCPC	"""xqxq"	Name	":"""	Balchem Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	BIOF	"""xqxq"	Name	":"""	BioFuel Energy Corp.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	CDXS	"""xqxq"	Name	":"""	"Codexis, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	GEVO	"""xqxq"	Name	":"""	"Gevo, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	GPRE	"""xqxq"	Name	":"""	"Green Plains Renewable Energy, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	GURE	"""xqxq"	Name	":"""	"Gulf Resources, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	HYGS	"""xqxq"	Name	":"""	Hydrogenics Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	IOSP	"""xqxq"	Name	":"""	Innospec Inc.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	KIOR	"""xqxq"	Name	":"""	"KiOR, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	LNDC	"""xqxq"	Name	":"""	Landec Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	MEOH	"""xqxq"	Name	":"""	Methanex Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	MEIL	"""xqxq"	Name	":"""	METHES ENERGIES INTERNATIONAL LTD	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	MEILW	"""xqxq"	Name	":"""	METHES ENERGIES INTERNATIONAL LTD	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	MEILZ	"""xqxq"	Name	":"""	METHES ENERGIES INTERNATIONAL LTD	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	PEIX	"""xqxq"	Name	":"""	"Pacific Ethanol, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	PURE	"""xqxq"	Name	":"""	"PURE Bioscience, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	REGI	"""xqxq"	Name	":"""	"Renewable Energy Group, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	SZYM	"""xqxq"	Name	":"""	"Solazyme, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	SDIX	"""xqxq"	Name	":"""	Strategic Diagnostics Inc.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	SYMX	"""xqxq"	Name	":"""	"Synthesis Energy Systems, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	TORM          	"""xqxq"	Name	":"""	TOR Minerals International Inc	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	VRNM	"""xqxq"	Name	":"""	Verenium Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	WDFC	"""xqxq"	Name	":"""	WD-40 Company	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	FSI	"""xqxq"	Name	":"""	Flexible Solutions International Inc.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
{	Symbol	":"""	GRH	"""xqxq"	Name	":"""	GreenHunter Energy Inc	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Major Chemicals	}xqxq
